"GF","W","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","MaxPd","MaxV2d","MaxV3d","MaxM2d","MaxM3d","MaxTd","MaxPc","MaxV2c","MaxV3c","MaxM2c","MaxM3c","MaxTc","U1","U2","U3","R1","R2","R3"
"3","217350.23212861","9068.752156098","18338.169161813","17853.580006057","18712.609832976","19377.329277365","21562.396411906","22430.271444622","20405.052948853","21706.104114635","19066.025290574","18793.536525645","10036.404958068","4273926.7549779","1777128.1482471","218187.58593973","71761920.503669","587758509.76422","2265515.2348983","4723779.8749909","32252.525170372","82479.260987595","74849929.346241","16214458.865261","18482385.991498","0.004600006","0.000932721","-0.003302355","1.857E-6","6.058E-6","6.058E-6"
"1","215127.31249198","8982.696041785","18939.952705878","14857.787090445","22571.903469833","21552.062542011","22867.150859628","20364.829406394","21316.136956879","19796.835648799","17417.618942101","15678.807476417","10781.531351813","4276693.4881907","1780329.0228071","219026.79973151","72279489.510393","588227003.54757","2276910.6522974","4725151.7876093","32730.561107782","84148.513899007","76364776.363348","16384326.001427","18945204.65623","0.004693103","0.000945296","-0.003302354","1.871E-6","6.21E-6","6.21E-6"
"1","217769.48863676","9382.441079764","17649.296355339","17974.777273093","19041.505865555","19416.15574999","22424.803760257","22599.516896433","22569.378777716","19867.410949848","17454.677135373","18335.76783212","11053.756961276","4276331.5101945","1782363.4211106","219343.55395663","72570494.695604","588399109.6692","2284362.8112623","4726242.3722315","32820.801186496","85243.867529923","77358809.783404","16534994.26004","19259221.559203","0.004754193","0.000956629","-0.003302355","1.876E-6","6.313E-6","6.313E-6"
"2","216755.60179371","10135.629391942","17853.947233711","17761.133315453","22053.272548003","21475.806057679","21055.853194703","21376.245261824","22202.783785026","21387.91522855","15049.054249972","16293.610456763","10110.351070081","4279013.1145605","1778943.0155237","218507.45897772","71988089.97403","588006035.73639","2273096.572678","4725676.4534325","32920.707662996","83970.017033568","76202790.457961","16298926.153568","18787332.035601","0.004683148","0.00095233","-0.003302355","1.871E-6","6.158E-6","6.158E-6"
"3","206007.30619781","9421.80831533","17667.197690828","15331.899273033","20826.242651045","19075.413749596","18706.949396682","19651.036891592","21483.590018228","21169.022614447","17230.671572595","14927.616382932","10515.857641502","4264636.8693692","1771629.3523179","216409.51051706","71093208.609009","586046501.38721","2245485.7349862","4714621.7126615","30672.9239296","78900.886142869","71602554.174652","15367984.264669","17656067.479303","0.004400434","0.000901137","-0.003302356","1.794E-6","5.787E-6","5.787E-6"
"1","212723.57668141","11752.623608097","17317.091683019","15539.01405431","19042.131067207","21089.019250394","22346.26614835","19315.029760234","22650.735270093","20408.130622641","15273.60186627","16119.59716205","11870.336188746","4270150.1701211","1777858.0342099","217883.47990508","71894896.220137","587052287.86203","2268689.9965835","4722127.4370915","32017.472991075","83256.906224598","75555642.398822","15918523.678777","18643512.321528","0.004643376","0.000916908","-0.003302354","1.798E-6","6.111E-6","6.111E-6"
"4","212674.48550959","10220.27377772","18399.211373495","16802.241238744","22961.014286547","18715.805038214","19100.998265412","22626.328675992","22502.001848332","20473.898043662","16216.021886312","15816.283697618","8840.407377537","16994972.495586","4693248.8376483","876261.12477658","712073337.39978","1440338543.567","27652869.561684","9316392.2032379","3876142.0617489","600863.26630463","327881753.72642","1194078434.8138","18613454.883378","0.186951897","1.517901176","0.000330122","0.001725496","6.101E-6","6.101E-6"
"1","215712.44054967","12026.918183214","15029.087648864","18825.488333797","19997.884878434","21271.573963125","19547.737099572","21373.901088187","21480.142212148","19870.148129567","16781.205183393","18154.763406935","11353.590422439","4272951.6499538","1776089.5299641","217690.59235312","71664414.096758","587031828.62049","2261910.1349654","4720739.2649893","32000.92684564","81764.151125372","74200967.146274","15844049.90047","18309829.382758","0.004560123","0.000935549","-0.003302356","1.836E-6","6.001E-6","6.001E-6"
"2","219419.22958326","11997.934982649","18884.647457921","15539.199943813","21782.305264904","21249.44682252","20299.289342497","20885.224271185","22310.250176313","19647.909198543","18952.244103189","17574.880546676","10295.897473047","4274550.2994648","1777544.9853257","218229.25918166","71809106.446445","587657247.19348","2266532.2623622","4722900.9356904","32409.304634337","82652.120280223","75006799.154301","16115878.751654","18501911.802334","0.004609646","0.000929094","-0.003302355","1.854E-6","6.064E-6","6.064E-6"
"4","213336.73048667","11724.880388331","17858.202194472","17998.46538134","21844.532182586","21601.790415971","20107.026926562","20942.00648849","20598.082015279","18963.181390496","18074.068644975","15128.843870086","8495.650588084","16991781.309893","4688868.2481909","874688.39689442","710931787.47024","1439756469.8589","27640393.155815","9316877.2818975","3876147.9184033","600806.68962743","327846581.89231","1193758567.875","18105853.687496","0.186948741","1.51785125","0.00033012","0.001725415","5.935E-6","5.935E-6"
