GF,W,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,MaxPd,MaxV2d,MaxV3d,MaxM2d,MaxM3d,MaxTd,MaxPc,MaxV2c,MaxV3c,MaxM2c,MaxM3c,MaxTc,U1,U2,U3,R1,R2,R3
2,211911.7514,9528.133837,17035.7,17339.9027,20910.0568,21895.61692,21872.55014,19537.977,20677.01414,20955.36494,15441.22067,18205.58742,8512.626859,4272872.659,1777837.441,218418.529,71995366.4,587702930.8,2266900.157,4722080.155,32107.1655,82129.22482,74532271.52,16120693.97,18509614.01,0.004580484,0.000927491,-0.003302355,1.85E-06,6.07E-06,6.07E-06
2,212179.8269,9557.533203,18485.27457,15510.02523,19587.82719,20209.00827,19790.15413,20216.61164,23045.83908,21445.35623,17423.09405,17339.31176,9569.791574,4271738.562,1776816.908,218106.716,71874182.3,587538621.9,2262883.542,4721550.656,31817.0228,81333.3538,73810018.58,16048206.3,18370645.87,0.004536097,0.000915641,-0.003302354,1.84E-06,6.02E-06,6.02E-06
2,219597.0908,11667.90786,18757.7296,16796.24326,20528.63119,21107.59614,22154.37079,18947.40731,20731.54994,22084.88211,17876.70786,17754.47556,11189.58912,4274961.668,1776279.684,217990.2601,71791519.25,587266329.4,2262143.908,4720556.076,32077.09498,81249.48077,73733903.8,15886939.26,18293418.01,0.004531419,0.000947604,-0.003302355,1.87E-06,6.00E-06,6.00E-06
2,210498.8686,8357.691172,16026.59294,15121.65879,20380.17453,22468.82982,21345.58276,20282.11313,21490.6569,21368.7477,16255.93031,15508.65785,11892.23268,4274860.62,1778691.939,218339.9015,72031636.46,587528946.4,2271278.422,4723579.831,32417.21726,83407.72667,75692511.95,16083097.02,18715765.69,0.004651788,0.00093889,-0.003302355,1.84E-06,6.14E-06,6.14E-06
1,211582.5569,11391.52616,17921.62569,17861.59463,19733.90201,19288.00456,19991.5614,19248.76831,20387.48788,22943.3546,15789.19374,16035.5353,10990.00265,4265726.553,1769113.783,215764.6643,70627064.55,585720554.9,2237538.684,4714007.005,30861.10769,78108.49272,70883457.14,15242967.27,17341938.7,0.004356241,0.000902932,-0.003302354,1.78E-06,5.68E-06,5.68E-06
2,217098.5856,10526.07314,16932.51128,16131.26043,19332.64461,22895.68983,22917.61903,22536.21453,21991.5289,20362.09919,17509.53117,17916.85443,8046.559101,4281645.116,1785223.891,219924.1375,72836221.62,588917674.1,2295907.538,4731357.254,33702.57595,87905.52474,79774263.7,16796690.61,19772977.95,0.004902638,0.000971239,-0.003302354,1.88E-06,6.48E-06,6.48E-06
2,218398.2217,11894.11843,17338.58685,18536.35608,20350.56766,20263.54071,19965.35828,19063.87986,21508.97951,22764.79264,17167.11502,17715.43554,11829.49108,4271786.309,1772013.452,216675.572,71003404.25,586597623.5,2248222.566,4717802.531,31621.72046,79966.76819,72569842.13,15599907.32,17784923.96,0.00445988,0.000928685,-0.003302354,1.83E-06,5.83E-06,5.83E-06
1,216590.1901,11682.33804,17530.98312,15868.32576,22260.53839,21078.20459,19573.86942,22461.95395,19659.41762,21312.28648,15864.83798,18728.74393,10568.69081,4271038.798,1774674.556,217365.1624,71469512.36,586839510.1,2257260.849,4720055.632,31902.49592,81281.02197,73762527.44,15747275.3,18161328.1,0.004533178,0.000917105,-0.003302355,1.83E-06,5.95E-06,5.95E-06
1,210433.6254,9607.51838,15261.04762,16590.91153,22655.42431,21141.23876,22143.79792,20029.9499,19106.47955,19034.45259,17220.9784,16351.13331,11290.69313,4271123.216,1777014.794,218122.5149,71859362.89,587509651.6,2263944.999,4721383.437,31752.21742,81507.55336,73968104.67,16047606.28,18394202.04,0.004545812,0.00092156,-0.003302354,1.85E-06,6.03E-06,6.03E-06
2,210690.7618,8343.903583,17117.96567,18739.20483,19924.79773,20994.26711,22161.19953,20020.08656,18753.69731,21943.58676,16033.89048,18842.8955,7815.26674,4270903.619,1775872.528,217868.5072,71763268.64,587193731.5,2260130.83,4719726.56,31710.92534,80696.25009,73231846.96,15890762.78,18215927.81,0.004500564,0.00092963,-0.003302355,1.86E-06,5.97E-06,5.97E-06
