Time,Latitude,Longitude,Depth/Km,Magnitude,magError
00:45.6,42.812,13.1813,9.2,2,0.439484396
00:58.8,42.618,13.289,6.7,2.8,0.440027137
01:50.8,42.7362,13.2022,9.8,2.4,0.440569878
03:05.8,42.7487,13.1807,9.7,2.1,0.441112619
04:36.6,42.8235,13.2328,8,2.3,0.44165536
05:11.7,42.637,13.2608,9.8,2.3,0.4421981
06:15.7,42.6043,13.2285,10,2.3,0.442740841
06:22.0,42.7082,13.2275,8.9,2.2,0.443283582
07:54.4,42.7457,13.2258,8.7,2.5,0.443826323
09:07.6,42.7557,13.1452,5.9,2.5,0.444369064
10:37.4,42.7558,13.236,11.1,2,0.444911805
11:34.7,42.7,13.1887,8.1,3,0.445454545
12:55.1,42.8003,13.159,8.6,2.4,0.445997286
13:19.4,42.7508,13.1993,8.9,2.1,0.446540027
14:10.7,42.7368,13.2267,10.1,2.4,0.447082768
14:48.4,42.7928,13.1868,9,2.3,0.447625509
15:20.4,42.6113,13.3187,8,2,0.44816825
15:33.0,42.6303,13.2373,11.1,2.7,0.448710991
17:21.8,42.8173,13.1315,6.3,2.3,0.449253731
18:19.5,42.7557,13.186,8,2.7,0.449796472
19:19.2,42.4938,13.2827,11.1,2.4,0.450339213
19:43.1,42.8013,13.1377,5.1,2.6,0.450881954
20:54.9,42.7927,13.1888,8.9,2.3,0.451424695
21:35.6,42.8012,13.1935,7.4,2.7,0.451967436
25:12.6,42.7992,13.1833,8.3,2.1,0.452510176
27:00.4,42.8047,13.1672,7.4,3.2,0.453052917
35:01.6,42.796,13.1673,7.5,2.6,0.453595658
36:30.0,42.802,13.1488,8.3,2.6,0.454138399
39:15.1,42.9745,13.1423,8.7,2.4,0.45468114
39:48.7,42.772,13.2267,6.5,2.7,0.455223881
40:26.7,42.6962,13.1193,11,2.1,0.455766621
41:15.8,42.79,13.2298,8.1,2.2,0.456309362
42:38.0,42.5765,13.2418,16.6,2.4,0.456852103
44:01.7,42.7915,13.1553,7.8,2.1,0.457394844
44:51.4,42.7838,13.1893,9.5,2,0.457937585
45:10.0,42.8117,13.1532,7.2,2.6,0.458480326
45:24.4,42.7292,13.158,10.3,2.2,0.459023066
46:47.5,42.8187,13.1638,10.6,2.2,0.459565807
47:42.0,42.8955,13.1753,9.8,2,0.460108548
51:30.8,42.741,13.2388,7.4,2.4,0.460651289
52:37.2,42.765,13.2245,6.7,2.3,0.46119403
54:54.3,42.7993,13.1863,8.8,3.2,0.461736771
59:37.4,42.8038,13.1625,10,2.7,0.462279512
59:45.4,42.8218,13.2433,11.4,2.8,0.462822252
00:53.7,42.6783,13.2342,9.3,2.3,0.463364993
01:49.8,42.8145,13.1635,10,2.3,0.463907734
02:41.1,42.7997,13.1553,10,2.1,0.464450475
03:58.1,42.868,13.1327,6.4,2.2,0.464993216
04:59.1,42.8162,13.1947,10.2,2,0.465535957
06:01.8,42.7692,13.1812,9.5,2.2,0.466078697
07:01.4,42.6045,13.2405,10.5,2.9,0.466621438
08:33.2,42.7917,13.2307,7.3,2.1,0.467164179
08:58.7,42.6883,13.2893,10.2,2.5,0.46770692
10:03.7,42.7763,13.1523,9.4,3.6,0.468249661
10:55.4,42.7765,13.1582,9.4,3.2,0.468792402
13:00.5,42.6075,13.2792,10.5,2.3,0.469335142
14:02.9,42.8302,13.2382,10.1,2,0.469877883
18:35.0,42.7308,13.1875,9.9,2.4,0.470420624
19:35.5,42.7248,13.2218,9.8,2,0.470963365
21:22.8,42.7252,13.2073,9,2.1,0.471506106
23:08.8,42.788,13.1978,8.8,2.9,0.472048847
23:28.2,42.718,13.187,8.6,3.3,0.472591588
24:49.2,42.7118,13.1767,10.6,2.5,0.473134328
25:02.8,42.712,13.221,5.5,3.1,0.473677069
26:57.4,42.7873,13.1525,7.5,2.4,0
28:25.3,42.7007,13.1323,10.5,2.8,0.438941655
28:54.5,42.7963,13.2013,7.6,2.5,0.439484396
29:52.0,42.7258,13.2413,9.4,2.3,0
30:25.9,42.7558,13.1568,7,2.1,0.440569878
32:48.7,42.8403,13.1097,7,2,0.441112619
35:43.4,42.7793,13.1533,11,2.5,0.44165536
38:59.5,42.6148,13.3228,7.2,2,0.4421981
39:13.4,42.7145,13.2475,9.6,2.4,0.442740841
43:31.9,42.7683,13.2387,10.3,2,0
44:23.0,42.729,13.2907,10.9,2.2,0.442740841
45:19.0,42.679,13.1515,13.3,2,0.443283582
45:37.2,42.7143,13.2598,9.6,2.7,0.443826323
46:12.9,42.7845,13.1152,11,2.1,0.444369064
47:57.7,42.7382,13.2208,10.8,2.5,0.444911805
48:08.5,42.7708,13.1922,10.2,3.1,0.445454545
49:13.9,42.7337,13.2213,8.1,2,0.445997286
49:38.7,42.7755,13.228,10.4,2.1,0.446540027
50:25.0,42.6373,13.2517,12.5,2.2,0.447082768
50:57.9,42.6493,13.2303,10.6,2.1,0
52:17.1,42.6228,13.2935,6.7,3.2,0.455766621
53:01.4,42.8067,13.1682,9.6,3.3,0.456309362
55:03.3,42.7977,13.2113,9.8,2.3,0.456852103
55:22.8,42.8108,13.1648,9.5,2.8,0.457394844
57:49.0,42.641,13.3125,10.8,2,0.457937585
00:55.8,42.7293,13.2118,9,2.9,0.458480326
01:58.4,42.776,13.185,10.1,2.9,0.459023066
02:55.2,42.7923,13.2317,6.8,2.9,0.459565807
19:27.3,42.7372,13.1623,10.7,2.3,0.460108548
19:53.1,42.6372,13.3038,7.3,2.5,0.460651289
30:38.1,42.7973,13.1928,9.6,2.7,0.46119403
37:07.5,42.7573,13.1898,10.4,2.3,0.461736771
38:10.2,42.703,13.2527,13.8,2.5,0.462279512
39:05.1,42.8133,13.1942,14.8,2.7,0.462822252
49:02.2,42.7573,13.1685,10.3,2.4,0.463364993
52:09.6,42.754,13.2168,3.7,2.1,0.463907734
55:33.3,42.8265,13.2725,6.7,3.1,0.464450475
56:38.2,42.7848,13.1368,10,2.8,0.464993216
58:51.3,42.7575,13.1775,10.4,2.7,0.465535957
00:30.6,42.821,13.1627,9.6,2.4,0.466078697
02:58.8,42.8187,13.195,10.3,3.2,0.466621438
04:37.8,42.8112,13.1953,10.2,2.9,0.467164179
05:09.9,42.6535,13.2667,11.8,2.6,0.46770692
09:46.3,42.7627,13.1783,10.5,2.2,0.468249661
13:30.2,42.8063,13.2003,9.1,2.1,0.468792402
15:01.0,42.7735,13.1618,10.2,2.5,0.469335142
23:09.1,42.7623,13.1373,12.9,2.1,0.469877883
25:32.4,42.8118,13.1832,9.3,2.4,0.470420624
28:08.4,42.4708,13.2475,12.4,2.8,0.470963365
31:43.3,42.8123,13.1923,9.5,3.4,0.471506106
33:13.2,42.8173,13.1933,10.6,2.5,0.472048847
36:50.1,42.4798,13.2378,12.8,2,0.472591588
39:12.5,42.7282,13.2497,9.2,2.2,0.473134328
41:15.2,42.8212,13.1668,9.9,2.9,0
43:48.0,42.6618,13.2958,9,3.1,0.47421981
45:54.9,42.6097,13.2858,14.4,2.5,0.474762551
48:27.9,42.6102,13.2018,15.2,2.2,0.475305292
49:58.0,42.6372,13.2422,10.8,2.2,0.475848033
53:17.7,42.7807,13.1998,10.8,2.3,0.476390773
56:05.6,42.8167,13.1812,5.7,2.2,0.476933514
00:40.6,42.7102,13.2357,4.2,2.4,0.477476255
01:27.7,42.7925,13.2128,9.7,2.3,0.478018996
06:41.6,42.7437,13.1793,10.5,3.2,0.478561737
09:26.4,42.6535,13.3092,15.8,3.1,0.479104478
11:19.5,42.7883,13.18,7.1,2.2,0.479647218
15:10.8,42.716,13.219,9.6,3,0.480189959
19:15.4,42.7392,13.236,8,2.5,0.4807327
22:43.3,42.7562,13.1177,8.2,2.8,0.481275441
28:59.0,42.7567,13.119,6,2.7,0.481818182
32:42.7,42.603,13.2325,11,3,0.482360923
36:45.3,42.7198,13.2137,15.1,2.2,0.482903664
41:16.7,42.7523,13.1072,7.1,2.1,0.483446404
42:41.9,42.8175,13.1602,9.9,2.1,0.483989145
44:48.1,42.7423,13.2328,15.9,2.7,0.484531886
52:34.2,42.8225,13.2377,7.1,2.8,0.485074627
57:16.5,42.6238,13.2363,11.1,2.3,0.485617368
05:42.5,42.6432,13.2282,2.4,2.8,0.486160109
06:48.4,42.8067,13.1563,10.4,2.3,0.486702849
09:51.9,42.8257,13.2152,9.3,2.1,0.48724559
12:58.0,42.7135,13.1822,15.6,2,0.487788331
20:32.2,42.7632,13.2063,16.6,2,0.488331072
23:58.4,42.7652,13.1663,10.2,2.7,0.488873813
24:50.6,42.6443,13.2522,11.8,2.3,0.489416554
28:52.5,42.7477,13.2557,10.9,2.5,0.489959294
31:53.4,42.7458,13.1927,10.9,3.1,0.490502035
34:20.9,42.7387,13.1668,11,2.3,0.491044776
36:26.7,42.8203,13.1613,9.8,2.7,0.491587517
37:40.4,42.8063,13.2233,9.1,2.7,0.492130258
40:15.7,42.7358,13.1957,10.4,2.9,0.492672999
50:30.6,42.8197,13.1602,9.8,4.5,0.493215739
59:59.8,42.8332,13.1435,10.2,3.5,0.49375848
01:48.4,42.8243,13.1705,8.8,3,0.494301221
06:09.3,42.8347,13.1507,10.3,3.6,0.494843962
13:27.0,42.8282,13.1538,9.7,2.9,0.495386703
18:27.0,42.8207,13.1248,7.8,3.4,0.495929444
22:53.3,42.8053,13.2087,9.1,2.4,0.496472185
42:10.4,42.8352,13.2543,7,2.7,0.497014925
43:42.0,42.8363,13.2518,8.6,2.3,0.497557666
00:26.8,42.8213,13.1547,9.7,2.8,0.498100407
05:11.3,42.748,13.2242,8.8,2.3,0.498643148
12:09.0,42.8047,13.2592,7.8,2.9,0.499185889
20:03.6,42.8192,13.2235,7.8,2.8,0.49972863
23:51.1,42.8095,13.243,7.3,2.6,0.50027137
25:33.2,42.835,13.1613,9.8,2.3,0.500814111
31:53.2,42.7867,13.2115,6.8,2.3,0.501356852
33:13.6,42.6888,13.3113,5.5,3.1,0.501899593
38:27.5,42.7858,13.1497,9.7,2.2,0.502442334
49:40.9,42.6115,13.3178,10.1,2.6,0.502985075
55:01.9,42.6073,13.2627,11.1,2.5,0.503527815
55:41.1,42.7845,13.1757,7.3,2.7,0.504070556
57:09.2,42.7723,13.1872,9.5,2.5,0.504613297
59:29.4,42.6603,13.2013,10.4,2.3,0.505156038
02:20.8,42.7997,13.2403,8.3,3.8,0.505698779
03:30.2,42.801,13.179,10,3.2,0.50624152
25:59.5,42.7998,13.1488,9.8,2.5,0.506784261
28:45.6,42.8093,13.1982,9.6,2.7,0.507327001
39:44.8,42.8048,13.2123,9.1,2.6,0.507869742
45:10.4,42.7288,13.1973,8.5,3.2,0.508412483
52:11.1,42.793,13.175,8.8,2.1,0.508955224
02:21.1,42.6313,13.3142,9.8,2.7,0.509497965
08:23.2,42.6887,13.2167,11,2.3,0.510040706
09:06.6,42.8067,13.1937,8.3,2.2,0
20:26.1,42.6477,13.2182,12,2.1,0.440027137
39:27.8,42.7973,13.2405,8.9,3.1,0.440569878
34:47.3,42.7352,13.2375,9.4,3.1,0
37:11.3,42.765,13.1537,9.1,2.5,0.443283582
39:53.0,42.7247,13.2032,8.6,2.7,0.443826323
54:29.7,42.6207,13.2848,7.1,2.6,0.444369064
57:21.9,42.665,13.3062,7.3,2.6,0.444911805
04:00.0,42.6152,13.32,5.9,2,0.445454545
16:42.6,42.6208,13.2512,11.4,2.5,0
27:01.5,42.8183,13.228,9.1,2.2,0.447625509
29:53.2,42.6055,13.2763,10.4,2.9,0.44816825
37:08.3,42.803,13.1897,6.1,2.7,0.448710991
38:00.4,42.8012,13.2493,7.5,3,0.449253731
46:09.5,42.6587,13.2147,10.3,4.2,0.449796472
49:56.8,42.7593,13.2487,7.8,2.5,0.450339213
50:54.6,42.7388,13.1952,9.9,2.4,0.450881954
54:34.5,42.6182,13.2412,11.2,2.7,0.451424695
55:23.2,42.8043,13.2458,8.7,2.9,0.451967436
56:16.5,42.7968,13.2312,9.3,2.9,0
