latitude,longitude,depth,mag,nst,gap,dmin,rms,horizontalError,depthError,magError,magNst
64.5391,-149.8031,1.5,1.2,,,,1,,0.4,,
58.17333333,-155.3583333,1.51,-0.31,6,124,,0.04,0.21,0.97,0.158810441,6
58.17416667,-155.3625,1.71,0.67,11,79,,0.08,0.19,0.57,0.186175058,11
58.1732,-155.3994,0,1.2,,,,0.95,,1.2,,
58.1819,-155.3627,1.2,0.5,,,,0.25,,1.3,,
38.8380013,-122.8396683,1.83,0.68,11,155,0.003318,0.01,0.36,0.62,0.08,11
58.1685,-155.368,2.29,0.11,9,74,,0.05,0.2,0.49,0.1255763,9
61.5294,-146.5487,28.9,1.4,,,,0.66,,0.2,,
58.18733333,-155.3041667,2.24,0.12,6,152,,0.07,0.31,0.42,0.382549011,6
58.25816667,-155.1128333,4.85,-0.09,8,89,,0.21,0.6,0.93,0.133647768,8
38.8255005,-122.8519974,1.94,0.43,11,100,0.004321,0.01,0.33,0.67,0.29,12
56.1646,-158.9351,135.6,1.6,,,,0.1,,11.6,,
58.17233333,-155.3366667,1.4,-0.31,7,117,,0.03,0.21,0.82,0.171975481,7
19.41983414,-155.3283386,3.220000029,1.92,27,69,,0.280000001,0.51,1.26999998,0.34,5
19.20833333,-155.4575,29.19,1.39,15,123,,0.09,0.64,0.84,0.03934592,6
44.31516667,-124.482,0.05,1.94,22,147,0.2767,0.41,0.73,0.5,0.0910741,12
39.9163333,-122.9823333,-1.13,2.27,27,42,0.2396,0.24,0.35,1.18,0.12,31
58.26233333,-155.1528333,32.6,-0.16,7,94,,0.05,1.28,0.63,0.260384626,6
58.27866667,-155.1693333,35.87,0.06,5,174,,0.14,1.79,1.07,0.066107899,4
58.2799,-155.1414,24.3,1.2,,,,0.59,,0.2,,
58.182,-155.3316667,1.52,-0.06,6,164,,0.05,0.28,0.74,0.334725073,6
19.19466591,-155.3888397,31.06999969,2.15,51,162,,0.129999995,0.44,0.540000021,3.18,8
52.84433333,-169.5038333,-1.37,1.24,6,176,,0.18,4.53,0.44,0.149099195,6
-56.8701,-140.8458,10,5.5,80,47,27.407,1.04,12.73,1.762,0.089,12
38.8168333,-122.824,2.56,0.47,21,52,0.008923,0.02,0.21,0.44,0.156,21
33.332,-116.1771667,12.05,1.06,51,26,0.1501,0.17,0.18,0.73,0.146,22
19.414,-155.3103333,4.19,0.72,15,111,,0.08,0.35,0.51,0.062295475,3
44.30366667,-124.5435,5.95,1.47,10,278,0.321,0.18,0.74,1.1,0.257191488,7
18.82466667,-67.71566667,37.78,3.4,11,318,0.492,0.42,2.61,6.94,0.092650634,7
58.24533333,-155.0753333,4.39,0.06,9,156,,0.24,0.66,0.97,0.19463624,9
35.7413333,-120.296,12.12,1.56,36,96,0.03902,0.05,0.2,0.35,0.231,26
62.644,-151.8371,6.3,1.6,,,,0.95,,0.3,,
35.7913333,-120.3398333,8.8,1.1,27,110,0.01831,0.07,0.45,0.34,0.183,12
56.9676,-158.1848,6.4,2.2,,,,0.44,,0.3,,
38.7826667,-122.7268333,1.11,1.19,42,44,0.007752,0.06,0.15,0.23,0.208,33
38.7820015,-122.7265015,0.73,1.07,12,78,0.008085,0.03,0.35,1.01,0.22,13
58.2535,-155.0566667,3.91,-0.18,7,117,,0.11,0.32,0.61,0.205564806,6
38.788,-122.7375,1.59,0.57,28,87,0.004794,0.04,0.17,0.26,0.369,24
58.2555,-155.067,9.9,0.6,,,,0.53,,0.3,,
64.3955,-148.0541,14.6,0.6,,,,0.55,,0.3,,
37.2834,-117.5915,4.7,0.6,9,228.37,0.067,0.1091,,5.8,0.71,5
17.97783333,-66.7,8.81,2.35,8,215,0.1102,0.12,0.59,2.37,0.095293723,7
37.5406667,-118.8318333,5.26,0.65,11,254,0.04932,0.05,1.28,0.67,0.18,12
38.8149986,-122.7945023,1.34,0.78,10,92,0.01093,0.01,0.31,0.77,0.15,10
38.8146667,-122.7965012,1.61,0.8,8,138,0.006754,0.02,0.49,1.23,0.2,9
17.9641,-66.6926,8,3.19,17,182,0.1168,0.19,0.59,1.3,0.1,13
31.62546803,-104.5133718,8.625244141,2.3,24,76,0.075892116,0.3,2.214540845,1.134162886,0.2,17
6.0666,126.3288,98.696,4.6,72,112,1.244,0.82,9.17,7.065,0.057,94
38.7543335,-122.7170029,0.88,0.96,9,172,0.009502,0.02,0.36,0.57,0.2,9
19.5228,-65.7673,76,3.84,9,282,1.3084,0.47,7.66,16.87,0.07,5
39.9161667,-122.9863333,4.16,2.12,20,58,0.2427,0.21,0.34,1.34,0.155,26
38.7535,-122.7206667,1.58,2.19,58,33,0.008721,0.06,0.14,0.18,0.202,63
38.7505,-122.7136667,1.24,1.12,15,81,0.009898,0.03,0.29,0.4,0.232,4
58.1865,-155.2725,2.27,0.22,11,55,,0.06,0.19,0.46,0.329406235,11
-18.0924,168.0641,35,4.4,12,152,4.325,1.22,11.04,1.98,0.179,10
58.2485,-155.1448333,3.06,-0.29,7,144,,0.06,0.31,0.64,0.222062999,7
33.5356667,-116.6816667,8.75,0.73,31,38,0.0527,0.12,0.17,0.39,0.207,22
38.8423347,-122.8414993,1.7,0.94,17,107,0.006003,0.03,0.27,0.46,0.2,18
33.1933333,-116.7441667,19.9,0.35,34,64,0.04426,0.14,0.19,0.4,0.052,5
32.7726667,-115.6841667,9.27,1.29,10,122,0.05382,0.13,0.4,1.12,0.224,11
38.838501,-122.8303299,1.76,0.21,10,78,0.004028,0.01,0.33,0.82,0.1,10
36.5626667,-121.0496667,11.26,1.87,41,136,0.01776,0.07,0.27,0.32,0.212,39
58.18716667,-155.365,1.61,-0.15,6,164,,0.07,0.3,0.34,0.159187071,6
34.4228333,-119.3601667,7.43,1.74,31,70,0.05632,0.19,0.23,0.5,0.152,21
58.22133333,-155.0978333,2.32,-0.03,7,107,,0.13,0.32,1.63,0.155651106,7
58.18216667,-155.3308333,1.42,-0.12,6,163,,0.05,0.29,0.74,0.234485019,6
17.99716667,-66.7275,15.03,2.49,19,170,0.06503,0.21,0.42,0.54,0.064049494,9
58.1825,-155.3633333,2.46,0.65,10,62,,0.06,0.2,0.36,0.227903018,11
19.40516663,-155.3196716,3.519999981,1.85000002,31,66,,0.150000006,0.32,0.5,1.16999996,18
57.9792,-156.3586,136.5,2.8,,,,0.82,,0.3,,
58.25366667,-155.1176667,3.86,0.42,11,86,,0.1,0.24,0.52,0.125987385,11
60.8494,-138.0308,8.291,2.9,28,103,0.257,0.59,3.4,6.303,0.047,60
61.8277,-147.9022,14.6,2.2,,,,0.41,,0.2,,
58.187,-155.2721667,2.35,0.67,11,56,,0.05,0.16,0.4,0.363969642,11
38.8261681,-122.8521652,1.82,0.89,17,89,0.003926,0.02,0.25,0.47,0.19,18
53.86566667,-166.7798333,6.07,0.08,6,116,,0.08,0.37,0.78,0.296868448,6
58.19183333,-155.364,2.1,-0.38,6,220,,0.04,0.65,0.39,0.249822392,6
28.63677979,-98.24620864,4.670857747,1.8,13,66,0.02999902,0.2,1.805629885,3.449929799,0.1,6
46.849,-121.9341667,10.87,0.15,14,90,0.01244,0.08,0.36,0.35,0.183510141,7
64.1272,-149.2201,128.2,1.4,,,,0.19,,1.8,,
51.8275,-177.8075,7.77,0.96,7,138,,0.06,0.37,0.3,0.281121432,7
38.8113327,-122.8281631,1.22,0.83,17,59,0.002586,0.02,0.21,0.5,0.2,17
56.8673,-158.0894,15.5,3.2,,,,0.51,,0.4,,
